text,label
What is your full name,Full name
Tell me your complete name,Full name
Who are you in full,Full name
What is your complete name,Full name
What does your complete name mean,Full name
What is your entire name,Full name
Please provide your complete name,Full name
Your full name,Full name
May I have your name please,Full name
What would your name be,Full name
Hi who are you,Full name
Hey remind me of your name,Full name
What is your age,Age
How old are you,Age
Your birthdate,Age
What year were you born,Age
Tell me how old you are,Age
Please tell me your birthdate,Age
Your age,Age
May I know your age,Age
What is your current age,Age
Could you tell me how many years have you lived,Age
Im curious how many years have you been alive,Age
Where were you born,Birthplace
Your birthplace,Birthplace
You were born where,Birthplace
Where did you birth,Birthplace
What city were you born in,Birthplace
The place of your birth,Birthplace
What coding languages are you proficient in,Programming Language
What are the coding languages that you are proficient in,Programming Language
Can you list the programming languages that you are skilled in,Programming Language
What languages of code do you have expertise in,Programming Language
I'm curious what programming languages are you proficient in,Programming Language
Could you share your proficiency in different coding languages,Programming Language
What are the programming languages you are comfortable working with,Programming Language
May I know the coding languages that you are proficient in,Programming Language
Which programming languages are you knowledgeable about,Programming Language
What are the coding languages in which you have proficiency,Programming Language
What is your favorite programming languages,Programming Language
Could you introduce yourself,General information
Can you tell me about your identity,General information
May I know who you are,General information
Would you mind sharing some information about yourself,General information
I'm curious could you tell me more about yourself,General information
Can you provide me with some background about who you are,General information
What can you tell me about yourself,General information
Can you give me an idea about your personality,General information
Could you describe yourself for me,General information
Who are you in general,General information
Who are you,General information
What coding projects are you currently working on,Coding Project
Can you tell me about a coding project that you are actively involved in,Coding Project
What coding projects have you been working on lately,Coding Project
Could you share with me a coding project that you have been working on recently,Coding Project
What coding projects are you currently contributing to,Coding Project
Can you talk about a coding project that you are currently developing,Coding Project
What coding projects are you actively participating in,Coding Project
Could you tell me about a coding project that you are currently leading,Coding Project
What is the most interesting coding project you are currently working on,Coding Project
Can you provide some details about a coding project that you are currently involved in,Coding Project
What are some coding projects that you are currently gaining experience in,Coding Project
Have you had the opportunity to work on any challenging coding projects lately,Coding Project
What coding projects are you currently working on that you feel are improving your skills,Coding Project
Can you discuss a coding project that you have found to be particularly rewarding,Coding Project
What coding projects are you involved in that you believe will have a significant impact,Coding Project
Could you share with me some of the frameworks or libraries you have experience using,Frameworks
What are some popular programming frameworks or libraries that you have used in the past,Frameworks
Can you tell me about the frameworks or libraries Library you have utilized in your programming work,Frameworks
What are some of the most commonly used programming libraries Library or frameworks that you have worked with,Frameworks
Could you describe some of the frameworks or libraries Library that you are familiar with,Frameworks
What are some of the frameworks or libraries Library you have proficiency with,Frameworks
Can you provide examples of some frameworks or libraries Library you have integrated into your projects,Frameworks
What programming frameworks or libraries Library have you found useful in the past,Frameworks
What are some of the frameworks or libraries Library ou have employed in your coding projects,Frameworks
Could you discuss the frameworks or libraries Library you have had experience using in your programming work,Frameworks
What are some of the commonly used frameworks or libraries Library that you have experience working with,Frameworks
Can you tell me about the frameworks or libraries Library you have employed to develop software applications,Frameworks
What are some programming frameworks or libraries Library that you have become skilled in,Frameworks
Could you describe some of the frameworks or libraries Library that you have found to be effective,Frameworks
What are some of the frameworks or libraries Library that you have experience integrating into your coding projects,Frameworks
What are some popular frameworks or libraries Library you have worked with,Frameworks
What are some favorite frameworks or libraries Library you have worked with,Frameworks
Which institution are you currently attending for your education,University
Where are you pursuing your academic studies at present,University
Can you share the name of the educational institution you are currently enrolled in,University
What is the name of the college or university you are attending currently,University
Could you tell me about the educational institution you are presently studying in,University
Where are you currently enrolled for your academic pursuits,University
Can you provide some insight into the educational institution you are currently attending,University
Which university are you presently enrolled in for your academic pursuits,University
Can you share the name of the university you are currently attending for your education,University
What is the name of the university where you are currently studying,University
Could you tell me about the university you are presently enrolled in for your degree,University
What is the educational institution where you are currently pursuing your academic studies,University
Can you provide some information about the university you are currently studying at,University
What is the name of the university where you are currently enrolled,University
Where are you studying right now,University
What is the location of your current studies,University
In which educational institution are you enrolled at the moment,University
Can you tell me where you are receiving education currently,University
Where are you pursuing your studies at this time,University
Which place are you attending for your education right now,University
study,University













